City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,assiniboia,49.6334,-105.9845,295.05,30,14,2.57,CA,1684103837
1,barrow,71.2906,-156.7887,276.16,81,75,11.83,US,1684103724
2,sitka,57.0531,-135.33,289.09,63,75,2.57,US,1684103837
3,pitimbu,-7.4706,-34.8086,301.48,78,23,4.3,BR,1684103657
4,lebu,-37.6167,-73.65,285.71,88,97,5.69,CL,1684103838
5,port elizabeth,-33.918,25.5701,286.1,85,20,2.06,ZA,1684103783
6,qaanaaq,77.484,-69.3632,262.1,77,4,1.39,GL,1684103838
7,victoria,22.2855,114.1577,296.45,95,100,3.14,HK,1684103587
8,mataura,-46.1927,168.8643,281.19,83,93,0.99,NZ,1684103838
9,vardo,70.3705,31.1107,280.14,81,100,1.03,NO,1684103838
10,port alfred,-33.5906,26.891,286.58,81,60,0.45,ZA,1684103839
11,carinhanha,-14.3047,-43.765,299.07,62,100,2.67,BR,1684103839
12,marondera,-18.1853,31.5519,284.93,81,21,2.35,ZW,1684103839
13,mataram,-8.5833,116.1167,293.6,78,7,3.71,ID,1684103840
14,kemijarvi,66.7131,27.4306,280.69,80,54,2.43,FI,1684103840
15,mattoon,39.4831,-88.3728,300.12,61,40,3.09,US,1684103841
16,vaini,-21.2,-175.2,298.24,65,75,4.63,TO,1684103841
17,atuona,-9.8,-139.0333,299.71,69,46,5.01,PF,1684103842
18,husavik,66.0449,-17.3389,271.83,78,93,7.95,IS,1684103842
19,honiara,-9.4333,159.95,303.41,68,31,0.79,SB,1684103842
20,castro,-24.7911,-50.0119,284.9,70,29,0.56,BR,1684103843
21,saint george,37.1041,-113.5841,301.72,25,20,8.23,US,1684103746
22,busselton,-33.65,115.3333,288.6,64,100,0.96,AU,1684103843
23,butaritari,3.0707,172.7902,301.67,80,100,7.36,KI,1684103844
24,bonavista,48.6499,-53.1147,278.0,81,65,8.36,CA,1684103844
25,kodiak,57.79,-152.4072,281.88,81,100,5.14,US,1684103844
26,yellowknife,62.456,-114.3525,294.44,23,40,7.2,CA,1684103567
27,bowen,-20.0167,148.2333,295.95,76,93,4.04,AU,1684103769
