City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butaritari,3.0707,172.7902,301.37,77,100,6.83,KI,1693775892
1,vaini,-21.2,-175.2,297.24,94,75,2.57,TO,1693776324
2,rikitea,-23.1203,-134.9692,292.13,83,100,4.85,PF,1693775888
3,bilma,18.6853,12.9164,308.18,26,61,5.72,NE,1693775969
4,saint-georges,12.0564,-61.7485,303.97,74,40,10.29,GD,1693776481
5,nagai,38.1036,140.035,295.79,97,99,1.2,JP,1693776481
6,christchurch,-43.5333,172.6333,283.89,89,75,6.17,NZ,1693776336
7,albany,42.6001,-73.9662,303.04,64,2,0.45,US,1693776187
8,barcelona,41.3888,2.159,301.23,45,0,8.75,ES,1693776288
9,kroya,-7.6331,109.2461,294.01,84,100,1.84,ID,1693776482
10,leningradskiy,69.3833,178.4167,274.76,77,94,8.7,RU,1693776482
11,praia da vitoria,38.7333,-27.0667,296.35,88,20,1.1,PT,1693776482
12,atuona,-9.8,-139.0333,299.37,75,13,8.85,PF,1693776483
13,cape town,-33.9258,18.4232,285.42,86,75,2.06,ZA,1693776062
14,kapaa,22.0752,-159.319,302.33,74,20,7.72,US,1693776483
15,katsuura,35.1333,140.3,298.66,94,100,3.15,JP,1693776444
16,chervone,49.9564,28.8645,291.77,43,100,4.96,UA,1693776483
17,punta arenas,-53.15,-70.9167,276.37,63,88,5.98,CL,1693776202
18,fare,-16.7,-151.0167,297.9,83,98,6.81,PF,1693776484
19,geraldton,-28.7667,114.6,287.38,77,100,2.06,AU,1693775928
20,thompson,55.7435,-97.8558,294.24,43,75,7.2,CA,1693775862
21,busselton,-33.65,115.3333,286.4,80,56,7.88,AU,1693775896
22,valenca,-13.3703,-39.0731,295.8,85,43,1.67,BR,1693776484
23,tongliao,43.6125,122.2653,290.52,92,59,4.65,CN,1693776485
24,new norfolk,-42.7826,147.0587,279.66,95,0,1.23,AU,1693775919
25,nogliki,51.8333,143.1667,281.36,75,7,1.99,RU,1693776485
26,nome,64.5011,-165.4064,285.19,82,0,9.26,US,1693775973
27,plettenberg bay,-34.0527,23.3716,284.86,84,64,1.87,ZA,1693776485
28,erenhot,43.6475,111.9767,292.51,57,39,4.71,CN,1693775950
29,anantapur,14.6833,77.6,299.19,74,100,5.94,IN,1693776485
30,khatanga,71.9667,102.5,275.08,98,100,4.09,RU,1693776347
31,lavrentiya,65.5833,-171.0,278.82,63,49,7.34,RU,1693775899
32,marang,5.2056,103.2059,299.1,91,100,3.18,MY,1693776371
33,batagay,67.6333,134.6333,275.78,86,98,2.06,RU,1693775946
34,san patricio,28.017,-97.5169,309.55,44,64,6.74,US,1693775932
35,makakilo city,21.3469,-158.0858,303.33,57,40,7.72,US,1693775906
36,sciacca,37.5082,13.0881,297.06,61,2,2.66,IT,1693776487
37,georgetown,5.4112,100.3354,301.11,92,20,0.51,MY,1693775888
38,mataura,-46.1927,168.8643,281.19,86,26,1.38,NZ,1693775890
39,barrow,71.2906,-156.7887,278.16,93,100,7.2,US,1693775889
40,dukat,62.55,155.55,272.54,91,100,3.05,RU,1693776487
41,honiara,-9.4333,159.95,300.16,78,66,1.89,SB,1693776487
42,hermanus,-34.4187,19.2345,284.71,81,33,3.51,ZA,1693775907
43,ushuaia,-54.8,-68.3,274.96,64,75,9.77,AR,1693775892
44,barnstaple,51.0802,-4.0581,293.29,89,67,3.15,GB,1693776488
45,norman wells,65.282,-126.8329,282.17,53,20,6.17,CA,1693775900
46,nanortalik,60.1432,-45.2371,277.1,78,48,7.29,GL,1693776388
47,yellowknife,62.456,-114.3525,286.16,70,75,7.72,CA,1693775901
48,east london,-33.0153,27.9116,290.71,82,34,1.17,ZA,1693775890
49,concordia,-31.393,-58.0209,289.14,100,100,4.92,AR,1693776437
50,riverton,40.5219,-111.9391,302.87,42,67,6.17,US,1693775953
51,fort nelson,58.8053,-122.7002,282.01,71,100,4.12,CA,1693775895
52,kalmunai,7.4167,81.8167,298.49,83,100,6.29,LK,1693776490
53,chokurdakh,70.6333,147.9167,275.61,78,100,3.67,RU,1693775905
54,chuy,-33.6971,-53.4616,287.48,99,100,2.37,UY,1693776350
55,port alfred,-33.5906,26.891,290.14,84,61,1.32,ZA,1693775898
56,severo-kurilsk,50.6789,156.125,285.06,96,69,4.66,RU,1693775975
57,berlin,52.5244,13.4105,290.57,80,0,2.24,DE,1693776321
58,krasnyy chikoy,50.3643,108.7512,282.14,95,26,1.05,RU,1693775938
59,russell,32.3502,-85.1999,305.68,40,20,2.06,US,1693776375
60,wexford,52.3342,-6.4575,288.65,97,4,1.79,IE,1693776492
61,sao filipe,14.8961,-24.4956,299.74,84,83,1.3,CV,1693775944
62,castro,-24.7911,-50.0119,293.76,87,71,3.31,BR,1693775876
63,upernavik,72.7868,-56.1549,275.84,69,99,2.13,GL,1693776492
64,hirara,24.8,125.2833,299.3,94,100,5.14,JP,1693776379
65,cockburn town,21.4612,-71.1419,302.25,73,64,3.66,TC,1693775964
66,lagoa,39.05,-27.9833,295.9,82,71,4.46,PT,1693776160
67,talcahuano,-36.7167,-73.1167,284.97,58,0,5.14,CL,1693776493
68,saint-francois,46.4154,3.9054,295.19,72,0,1.03,FR,1693776493
69,cao bang,22.6667,106.25,295.4,97,100,1.49,VN,1693776493
70,huarmey,-10.0681,-78.1522,295.01,72,4,4.23,PE,1693775989
71,codrington,-38.2667,141.9667,290.13,34,100,9.04,AU,1693775943
72,hasaki,35.7333,140.8333,299.43,92,100,3.65,JP,1693775898
73,pisco,-13.7,-76.2167,295.18,64,0,7.72,PE,1693775923
74,airai,-8.9266,125.4092,284.05,75,9,1.09,TL,1693775937
75,carnarvon,-24.8667,113.6333,290.93,59,100,7.08,AU,1693775905
76,farafenni,13.5667,-15.6,300.05,85,83,2.7,GM,1693776494
77,ulladulla,-35.35,150.4667,282.74,86,2,2.67,AU,1693776494
78,the pas,53.8251,-101.2541,293.16,60,48,2.57,CA,1693776494
79,bluff,-46.6,168.3333,281.37,85,26,3.06,NZ,1693776495
80,southbridge,42.0751,-72.0334,302.88,75,0,2.48,US,1693776495
81,ugoofaaru,5.6667,73.0,298.69,80,100,2.1,MV,1693776495
82,gurlan,41.8447,60.3919,292.1,41,0,4.65,UZ,1693776495
83,bredasdorp,-34.5322,20.0403,281.33,90,2,2.28,ZA,1693775918
84,maham,28.9833,76.3,301.45,45,0,0.77,IN,1693776496
